"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"145",0,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0,0,0,328,646,0,1868,0,25288,828,0,0,0,0,0,684,0,0,0,0
"146",0,0,0,0,0,0,446388,0,0,0,0,0,0,0,0,0,0,7096,0,0,0,6796,0,0,15428,0,251336,0,930,6860,0,0,37514,0,0
"147",345620,23080,63518,108062,331588,110674,64872,29968,85940,59108,264572,154690,45332,1344,163136,229894,115074,3150214,150618,89164,335444,165686,93408,49670,110944,69256.0000000001,123072,142412,2548,110248,472678,106962,174562,165948,182056
"148",0,0,0,0,0,0,0,0,0,0,0,0,240944,0,0,0,238878,3148,7200,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0,0,196956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17024,0,0,8402,6408,0,102
"150",44908,0,2452,0,0,0,0,75643.9999999999,0,1344,104552,0,0,0,18880,0,0,0,0,0,1664,0,0,0,0,0,0,580,0,0,0,0,0,0,0
"151",0,0,0,0,0,167938,0,278022,98280,0,0,0,92352.0000000001,0,71596,47498,221982,89258,0,82602,0,0,43890,0,0,61076,171622,0,0,0,0,14580,0,52798.0000000001,82037.9999999999
"152",0,0,0,0,7034,0,0,3612,0,0,2602,0,36362,0,0,0,8036,0,28806,0,0,0,0,0,73356,0,0,35034,0,0,0,0,0,0,0
"153",259118,0,0,0,0,197850,0,112624,0,0,0,46022,0,0,0,0,20638,0,0,0,0,21748,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,18584,0,9350,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,530
"155",408502,0,82310,0,412,0,269562,308324,0,246166,36302,0,56340,0,0,93416,5784,245134,247724,37924,0,48946,0,0,708,1284,0,0,0,93404,0,11856,0,0,14636
"156",1758,184744,0,0,0,0,220,183258,0,0,0,0,0,526318,1006,0,17674,0,0,16492,0,4518,118,0,143630,48150,0,0,0,141422,56362,0,10644,0,108
